example_id                                                                 | status  | run_time        |
./spec/models/ballots/aasm_spec.rb[1:5:1]                                  | passed  | 0.01508 seconds |
./spec/models/ballots/aasm_spec.rb[1:5:2]                                  | passed  | 0.01422 seconds |
./spec/models/ballots/aasm_spec.rb[1:5:3]                                  | passed  | 0.0082 seconds  |
./spec/models/ballots/aasm_spec.rb[1:5:4]                                  | passed  | 0.0338 seconds  |
./spec/models/ballots/aasm_spec.rb[1:6:1]                                  | passed  | 0.01282 seconds |
./spec/models/ballots/aasm_spec.rb[1:6:2]                                  | passed  | 0.0115 seconds  |
./spec/models/ballots/aasm_spec.rb[1:7]                                    | passed  | 0.0175 seconds  |
./spec/models/ballots/aasm_spec.rb[1:8]                                    | passed  | 0.04591 seconds |
./spec/models/ballots/aasm_spec.rb[1:9:1]                                  | passed  | 0.01837 seconds |
./spec/models/ballots/aasm_spec.rb[1:9:2]                                  | passed  | 0.02305 seconds |
./spec/models/ballots/aasm_spec.rb[1:9:3]                                  | passed  | 0.02194 seconds |
./spec/models/ballots/aasm_spec.rb[1:9:4]                                  | passed  | 0.02084 seconds |
./spec/models/ballots/aasm_spec.rb[1:9:5]                                  | passed  | 0.02741 seconds |
./spec/models/ballots/aasm_spec.rb[1:9:6]                                  | passed  | 0.03001 seconds |
./spec/models/ballots/aasm_spec.rb[1:9:7]                                  | passed  | 0.0218 seconds  |
./spec/models/ballots/aasm_spec.rb[1:9:8]                                  | passed  | 0.02893 seconds |
./spec/models/ballots/aasm_spec.rb[1:9:9:1]                                | passed  | 0.14462 seconds |
./spec/models/ballots/aasm_spec.rb[1:9:9:2]                                | passed  | 0.0638 seconds  |
./spec/models/ballots/aasm_spec.rb[1:9:9:3]                                | passed  | 0.07351 seconds |
./spec/models/ballots/aasm_spec.rb[1:9:9:4]                                | passed  | 0.05238 seconds |
./spec/models/ballots/aasm_spec.rb[1:9:9:5]                                | passed  | 0.0529 seconds  |
./spec/models/ballots/aasm_spec.rb[1:9:9:6]                                | passed  | 0.13448 seconds |
./spec/models/ballots/aasm_spec.rb[1:9:9:7]                                | passed  | 0.06724 seconds |
./spec/models/ballots/aasm_spec.rb[1:9:9:8]                                | passed  | 0.06675 seconds |
./spec/models/ballots/aasm_spec.rb[1:9:9:9]                                | passed  | 0.06399 seconds |
./spec/models/ballots/aasm_spec.rb[1:9:9:10]                               | failed  | 0.03628 seconds |
./spec/models/ballots/aasm_spec.rb[1:9:9:11]                               | passed  | 0.06949 seconds |
./spec/models/ballots/aasm_spec.rb[1:9:9:12:1]                             | passed  | 0.0471 seconds  |
./spec/models/ballots/aasm_spec.rb[1:9:9:13:1]                             | passed  | 0.07184 seconds |
./spec/models/ballots/aasm_spec.rb[1:9:9:13:2]                             | passed  | 0.06068 seconds |
./spec/models/ballots/aasm_spec.rb[1:9:9:14:1]                             | passed  | 0.06317 seconds |
./spec/models/ballots/aasm_spec.rb[1:9:9:15:1]                             | passed  | 0.06031 seconds |
./spec/models/ballots/aasm_spec.rb[1:9:9:16:1]                             | failed  | 0.03636 seconds |
./spec/models/ballots/close_spec.rb[1:1]                                   | pending | 0.00001 seconds |
./spec/models/ballots/draw_spec.rb[1:1]                                    | passed  | 0.01875 seconds |
./spec/models/ballots/draw_spec.rb[1:2:1]                                  | passed  | 0.01744 seconds |
./spec/models/ballots/draw_spec.rb[1:3:1]                                  | passed  | 0.02279 seconds |
./spec/models/ballots/draw_spec.rb[1:3:2]                                  | passed  | 0.01805 seconds |
./spec/models/ballots/draw_spec.rb[1:4:1]                                  | passed  | 0.01797 seconds |
./spec/models/ballots/draw_spec.rb[1:4:2]                                  | passed  | 0.01882 seconds |
./spec/models/ballots/draw_spec.rb[1:5:1]                                  | passed  | 0.01807 seconds |
./spec/models/ballots/draw_spec.rb[1:5:2]                                  | passed  | 0.01726 seconds |
./spec/models/ballots/draw_spec.rb[1:6:1]                                  | passed  | 0.03711 seconds |
./spec/models/ballots/draw_spec.rb[1:6:2]                                  | passed  | 0.06684 seconds |
./spec/models/ballots/draw_spec.rb[1:6:3]                                  | passed  | 0.06554 seconds |
./spec/models/ballots/draw_spec.rb[1:6:4:1]                                | passed  | 0.09892 seconds |
./spec/models/ballots/open_spec.rb[1:1]                                    | passed  | 0.01651 seconds |
./spec/models/ballots/open_spec.rb[1:2:1]                                  | passed  | 0.01546 seconds |
./spec/models/ballots/open_spec.rb[1:2:2:1]                                | passed  | 0.01714 seconds |
./spec/models/ballots/open_spec.rb[1:2:2:2]                                | passed  | 0.01812 seconds |
./spec/models/ballots/open_spec.rb[1:2:2:3]                                | passed  | 0.01836 seconds |
./spec/models/ballots/open_spec.rb[1:2:3:1]                                | passed  | 0.01959 seconds |
./spec/models/ballots/self_service_entry_spec.rb[1:1]                      | passed  | 0.02516 seconds |
./spec/models/ballots/self_service_entry_spec.rb[1:2]                      | passed  | 0.01816 seconds |
./spec/models/ballots/self_service_entry_spec.rb[1:3:1]                    | failed  | 0.0327 seconds  |
./spec/models/ballots/self_service_entry_spec.rb[1:3:2]                    | failed  | 0.03521 seconds |
./spec/models/ballots/self_service_entry_spec.rb[1:3:3:1]                  | failed  | 0.03202 seconds |
./spec/models/ballots/self_service_entry_spec.rb[1:4:1]                    | failed  | 0.02588 seconds |
./spec/models/ballots/self_service_entry_spec.rb[1:4:2]                    | failed  | 0.03316 seconds |
./spec/models/ballots/self_service_entry_spec.rb[1:4:3:1]                  | failed  | 0.02145 seconds |
./spec/models/ballots/self_service_entry_spec.rb[1:5:1]                    | failed  | 0.02091 seconds |
./spec/models/ballots/self_service_entry_spec.rb[1:5:2]                    | failed  | 0.02164 seconds |
./spec/models/ballots/self_service_entry_spec.rb[1:5:3:1]                  | failed  | 0.02343 seconds |
./spec/models/ballots/self_service_entry_spec.rb[1:6:1]                    | failed  | 0.02719 seconds |
./spec/models/ballots/self_service_entry_spec.rb[1:6:2]                    | failed  | 0.01602 seconds |
./spec/models/ballots/self_service_entry_spec.rb[1:6:3:1]                  | failed  | 0.01965 seconds |
./spec/models/ballots/self_service_entry_spec.rb[1:7:1]                    | failed  | 0.02286 seconds |
./spec/models/ballots/self_service_entry_spec.rb[1:7:2]                    | failed  | 0.01931 seconds |
./spec/models/ballots/self_service_entry_spec.rb[1:7:3]                    | failed  | 0.02252 seconds |
./spec/models/ballots/self_service_entry_spec.rb[1:7:4]                    | failed  | 0.01939 seconds |
./spec/models/ballots/self_service_entry_spec.rb[1:7:5]                    | failed  | 0.01846 seconds |
./spec/models/ballots/self_service_entry_spec.rb[1:7:6]                    | failed  | 0.01718 seconds |
./spec/models/ballots/transition_spec.rb[1:1]                              | pending | 0.00001 seconds |
./spec/models/booking_spec.rb[1:1]                                         | passed  | 0.00279 seconds |
./spec/models/booking_spec.rb[1:2]                                         | passed  | 0.00288 seconds |
./spec/models/booking_spec.rb[1:3]                                         | passed  | 0.00249 seconds |
./spec/models/booking_spec.rb[1:4]                                         | passed  | 0.0034 seconds  |
./spec/models/booking_spec.rb[1:5]                                         | passed  | 0.00231 seconds |
./spec/models/booking_spec.rb[1:6]                                         | passed  | 0.00317 seconds |
./spec/models/bookings/aasm_spec.rb[1:1:1:1]                               | passed  | 0.02131 seconds |
./spec/models/bookings/aasm_spec.rb[1:1:1:2]                               | passed  | 0.01777 seconds |
./spec/models/bookings/aasm_spec.rb[1:1:1:3]                               | passed  | 0.02163 seconds |
./spec/models/bookings/aasm_spec.rb[1:1:1:4]                               | passed  | 0.02324 seconds |
./spec/models/bookings/aasm_spec.rb[1:1:1:5]                               | passed  | 0.02887 seconds |
./spec/models/bookings/aasm_spec.rb[1:1:2:1:1:1]                           | passed  | 0.02393 seconds |
./spec/models/bookings/aasm_spec.rb[1:1:2:1:1:2]                           | passed  | 0.02263 seconds |
./spec/models/bookings/aasm_spec.rb[1:1:2:1:1:3]                           | passed  | 0.02813 seconds |
./spec/models/bookings/aasm_spec.rb[1:1:2:1:1:4]                           | passed  | 0.0264 seconds  |
./spec/models/bookings/aasm_spec.rb[1:1:2:1:1:5]                           | passed  | 0.02264 seconds |
./spec/models/bookings/aasm_spec.rb[1:1:2:2:1:1]                           | passed  | 0.02146 seconds |
./spec/models/bookings/aasm_spec.rb[1:1:2:2:1:2]                           | passed  | 0.02738 seconds |
./spec/models/bookings/aasm_spec.rb[1:1:2:2:1:3]                           | passed  | 0.03069 seconds |
./spec/models/bookings/aasm_spec.rb[1:1:2:2:1:4]                           | passed  | 0.02231 seconds |
./spec/models/bookings/aasm_spec.rb[1:1:2:2:1:5]                           | passed  | 0.02862 seconds |
./spec/models/bookings/aasm_spec.rb[1:1:3:1]                               | passed  | 0.01884 seconds |
./spec/models/bookings/aasm_spec.rb[1:1:3:2]                               | passed  | 0.01699 seconds |
./spec/models/bookings/aasm_spec.rb[1:1:3:3]                               | passed  | 0.02046 seconds |
./spec/models/bookings/aasm_spec.rb[1:1:3:4]                               | passed  | 0.02514 seconds |
./spec/models/bookings/aasm_spec.rb[1:1:4:1]                               | passed  | 0.02615 seconds |
./spec/models/bookings/aasm_spec.rb[1:1:4:2]                               | passed  | 0.02494 seconds |
./spec/models/bookings/aasm_spec.rb[1:1:4:3]                               | passed  | 0.02444 seconds |
./spec/models/bookings/aasm_spec.rb[1:1:4:4]                               | passed  | 0.02778 seconds |
./spec/models/bookings/aasm_spec.rb[1:1:4:5]                               | passed  | 0.02389 seconds |
./spec/models/bookings/aasm_spec.rb[1:2:1:1]                               | passed  | 0.01923 seconds |
./spec/models/bookings/aasm_spec.rb[1:2:1:2]                               | passed  | 0.01715 seconds |
./spec/models/bookings/aasm_spec.rb[1:2:1:3]                               | passed  | 0.0245 seconds  |
./spec/models/bookings/aasm_spec.rb[1:2:1:4]                               | passed  | 0.02504 seconds |
./spec/models/bookings/aasm_spec.rb[1:2:1:5]                               | passed  | 0.029 seconds   |
./spec/models/bookings/aasm_spec.rb[1:2:2:1:1:1]                           | passed  | 0.02067 seconds |
./spec/models/bookings/aasm_spec.rb[1:2:2:1:1:2]                           | passed  | 0.02176 seconds |
./spec/models/bookings/aasm_spec.rb[1:2:2:1:1:3]                           | passed  | 0.02415 seconds |
./spec/models/bookings/aasm_spec.rb[1:2:2:1:1:4]                           | passed  | 0.02579 seconds |
./spec/models/bookings/aasm_spec.rb[1:2:2:1:1:5]                           | passed  | 0.02654 seconds |
./spec/models/bookings/aasm_spec.rb[1:2:2:2:1:1]                           | passed  | 0.02683 seconds |
./spec/models/bookings/aasm_spec.rb[1:2:2:2:1:2]                           | passed  | 0.02849 seconds |
./spec/models/bookings/aasm_spec.rb[1:2:2:2:1:3]                           | passed  | 0.02864 seconds |
./spec/models/bookings/aasm_spec.rb[1:2:2:2:1:4]                           | passed  | 0.02575 seconds |
./spec/models/bookings/aasm_spec.rb[1:2:2:2:1:5]                           | passed  | 0.02734 seconds |
./spec/models/bookings/aasm_spec.rb[1:2:3:1]                               | passed  | 0.0201 seconds  |
./spec/models/bookings/aasm_spec.rb[1:2:3:2]                               | passed  | 0.0201 seconds  |
./spec/models/bookings/aasm_spec.rb[1:2:3:3]                               | passed  | 0.02307 seconds |
./spec/models/bookings/aasm_spec.rb[1:2:3:4]                               | passed  | 0.02858 seconds |
./spec/models/bookings/aasm_spec.rb[1:2:4:1]                               | passed  | 0.02194 seconds |
